ID,标签,标题                            ,问题                                                                                 ,答案                                                                                                                                                                          ,省份 ,年份
5 ,0 ,学校的宿舍条件如何                     ,学校的宿舍条件如何                                                                          ,你好，目前为六人间宿舍，具体以入学指南相应安排为准。                                                                                                                                                  ,广东 ,2021
6 ,0 ,今年北师珠新开设的人工智能专业是哪个书院？在广东省招多少人？,今年北师珠新开设的人工智能专业是哪个书院？在广东省招多少人？                                                     ,你好，人工智能专业按数学类进行招生，招生单位为文理学院。人工智能专业具体人数根据大类分流实际情况确定。                                                                                                                         ,广东 ,2021
7 ,0 ,请问贵校2021年河南体育类考生投档方式是哪个公式？    ,请问贵校2021年河南体育类考生投档方式是哪个公式？                                                         ,你好！投档规则按各省相关规定执行。学校体育教育有成绩要求：高考成绩（不含政策加分）不低于考生所在省份同科类普通本科一批录取控制线（对于合并本科批次的省份及实施高考改革省份本科第一批次录取控制分数线参照省级招生考试机构相关规定执行）80%，体育专业考试成绩不低于80分（100分制...[详细]                          ,河南 ,2021
8 ,0 ,录取                            ,湖南理科考生618分有希望被录取吗？                                                                 ,你好，该分数有希望的，大胆填报。                                                                                                                                                            ,湖南 ,2020
9 ,0 ,女生住宿问题                        ,看了老师的解答，感觉大一新生的住宿条件比较差，大二是否会好一点？                                                   ,你好，珠海校区的住宿环境十分优越，大一六人间，大二开始为四人间。具体可关注微信公众号“北京师范大学珠海校区”或者官方网站（ https://zhuhai.bnu.edu.cn）                                                                                    ,湖南 ,2020
10,0 ,就业                            ,理科实验班女生可以转为公费师范生吗？                                                                 ,你好，可以申请，接收院系、学校同意后，最后是否能成功，得看生源地省教育厅的意见。                                                                                                                                    ,湖南 ,2020
11,0 ,关于就业                          ,女生理科实验班就业方向以及是否可以修双学位的问题，请给与解答。                                                    ,你好，理科试验班包含专业众多，就业具体可参照北京校区相关院系介绍。（ http://admissionold.bnu.edu.cn/old/bnu2020/index.html ）在学有余力的情况下，可以申请辅修专业或学士学位。                                                          ,湖南 ,2020
12,0 ,录取                            ,您好！江西理科578分，排19900名，有希望进贵校吗？                                                       ,你好，该分数有一定距离。                                                                                                                                                                ,江西 ,2020
13,0 ,您好，请问贵校是不是2024年停办呢？还有贵校填志愿时的院校,您好，请问贵校是不是2024年停办呢？还有贵校填志愿时的院校代码是多少呢？                                              ,你好，这里是北京师范大学（珠海校区），要停办的珠海分校，两者不是同一个学校。2017年8月，广东省、珠海市、北京师范大学共同签署了《共建北京师范大学珠海校区协议》，三方协力共同推进北京师范大学珠海校区建设。2019年4月，教育部正式批准北京师范大学建立珠海校区。北京师范大学办学格...[详细]                         ,江西 ,2020
14,0 ,北京师范大学（珠海校区）                  ,请问理科518，排名近36000，提前批报贵校社会科学试验班可能录取吗                                                ,你好，该分数距离较远，感谢关注。                                                                                                                                                            ,福建 ,2020
15,0 ,分数                            ,福建理科生，总分549，排名24158，有望被提前批的社会科学实验班录取吗？这个专业有没有英语和数学成绩的要求？                           ,你好，该分数距离较远，感谢关注。                                                                                                                                                            ,福建 ,2020
16,0 ,录取问题                          ,你好，请问我是理科586，排名27770，录取几率大吗                                                        ,你好，根据今年的情况预估，该分数距离较远。                                                                                                                                                       ,广东 ,2020
17,0 ,公费师范生                         ,我今天想报考贵校公费师范生为什么显示学校没有该计划呢                                                         ,请问是否是体育教育专业，该专业比较特殊，可能在一批次，本省的报考指南上有，可以找一下；或打电话问省招办。                                                                                                                        ,山东 ,2020
18,0 ,报考                            ,福建文科554分，6229名，报贵校有希望录取吗？                                                          ,你好，该分数有一定差距。                                                                                                                                                                ,福建 ,2020
19,0 ,福建提前批                         ,你好，请问福建省文科601，排名1367能被贵校（珠海校区）提前批录取？                                               ,你好，该分数有较大希望。                                                                                                                                                                ,福建 ,2020
5 ,0 ,转专业                           ,您好，我想问问广东考生624报考珠海校区有多大把握被录取?报考后是否能转文科类专业?如果可以，是在大一结束后才可以，还是说大一上结束，大一下可以开始学习文科专业?  ,你好，该分数有一定希望。全校一、二年级学生拥有专业选择机会。各特殊类型学生以各类型招生简章要求为准。学生可在春季学期自主提出转专业申请，由接收院系按转入标准进行公开考核，择优录取。转专业不设转出门槛，不设人数上限，且可跨文理大类。                                                         ,广东 ,2020
6 ,0 ,录取                            ,广东理科2020分数线625省排9547折算成2019分数线594~595请问进珠海校区的理科实验班稳不稳?                             ,你好，该分数报考我校珠海校区有一定希望。                                                                                                                                                        ,广东 ,2020
7 ,0 ,录取可能                          ,老师，您好！我是广东理科20610排名的考生，我想问一下我有机会进北师大珠海校区吗?谢谢                                       ,你好，该排名有一定距离。                                                                                                                                                                ,广东 ,2020
8 ,0 ,录取                            ,您好，请问江西省文科考生578分，排位3416名，报考贵校被录取的概率大吗？                                             ,你好，该分数报我校珠海校区，有一定希望。                                                                                                                                                        ,江西 ,2020
9 ,0 ,北京录取                          ,请问北京611，排名7480，今年报北师大珠海校区，有希望吗？理科试验班，对北京报考的考生有什么限制条件吗？                             ,你好，该分数报考我校珠海校区，可以冲一冲。可看体检是否符合要求。                                                                                                                                            ,北京 ,2020
10,0 ,报考                            ,老师，您好，请问江西考生文科3416名，报考贵校，录取概率大吗？                                                   ,"你好，建议拿分咨询。具体可拨打北京师范大学本科招生咨询热线010-58807962（面向北京校区、珠海校区），从7月13日起至8月2日（周末不休），每天8:00-11:30,14:00-17:30，其中高考志愿填报集中时段（7月23日-29日）加开晚上时段18:00-21:00；多部电话连选，为全国考生、家长提供电话咨询服务...[详细]",江西 ,2020
11,0 ,录取咨询                          ,我是广东文科考生。592分，2813名，有希望报考贵校吗？                                                      ,你好，该分数有希望。                                                                                                                                                                  ,广东 ,2020
12,0 ,福建省提前批录取                      ,你好，请问福建省文科591，排名2104有多大几率能上贵校（珠海校区）提前批？                                            ,你好，该分数有希望，可以提前批一志愿报考我校珠海校区。                                                                                                                                                 ,福建 ,2020
13,0 ,北京                            ,您好，北京考生613排名7177有希望报考该校吗.                                                          ,你好，可以冲一冲我校珠海校区                                                                                                                                                              ,北京 ,2020
14,0 ,公费师范生                         ,广西考生，511分，七千多名，报考专项计划的国家公费师范生有机会吗                                                  ,你好，该分数希望不大。                                                                                                                                                                 ,广西 ,2020
15,0 ,录取                            ,您好，贵校珠海校区去年的最低录取分数是多少呢？提前批的录取分数呢？是与北京校区一样吗还是更低？                                    ,你好，珠海校区2019年才刚开始招生，建议拿分来咨询。                                                                                                                                                 ,安徽 ,2020
16,0 ,录取问题                          ,您好，请问今年江西文史类考生，分数587排名2183有望录取贵校吗？贵校今年在江西的预估录取最低分大概是多少呢？                           ,你好，该分数有希望，建议报考我校珠海校区。                                                                                                                                                       ,北京 ,2020
17,0 ,广东考生2020届理科610排名14990可以选择吗？   ,广东考生2020届理科610排名14990可以选择贵校吗？                                                      ,你好，也可以冲一下。                                                                                                                                                                  ,广东 ,2020
18,0 ,广东理科588分，报考珠海校区有希望吗？          ,广东理科588分，报考珠海校区有希望吗？                                                               ,你好，根据今年的情况预估，该分数有一定距离；预估仅供参考。                                                                                                                                               ,广东 ,2020
19,0 ,录取                            ,江西585分2388名有没有希望录取？                                                                ,你好，该分数有希望，建议报考我校珠海校区。                                                                                                                                                       ,江西 ,2020
5 ,0 ,录取                            ,你好，山东考生591分，排名33000，报免费师范生有机会吗？                                                    ,你好，根据今年的情况预估，该分数有一定距离；预估仅供参考。                                                                                                                                               ,山东 ,2020
6 ,0 ,国家公费师范生                       ,广东考生，文科，排名992，可否作为国家公费师范生录取？被调剂可能大吗？                                               ,你好，建议拿分来咨询，看排名挺不错的，提前批报公费师范生有较大把握。                                                                                                                                          ,广东 ,2020
7 ,0 ,分数投档                          ,您好离高分投档线差四分能报考贵校提前批公费师范生吗                                                          ,你好，建议拿分来咨询，更具针对性。                                                                                                                                                           ,广东 ,2020
8 ,0 ,实验班                           ,你好，我想咨询一下贵校的专业中“社会科学实验班”以及“理科实验班”与其他一般专业有什么不同？                                     ,人文科学试验班（汉语言文学、历史学、英语）、社会科学试验班（经济学<数据科学方向>、金融学<Fintech>、人力资源管理<全球领导力方向>）、理科试验班（数学与应用数学、物理学、化学、生物科学、地理科学、心理学、系统科学与工程、数据科学与大数据技术）设在会同书院，实行大类招生，第一学年修...[详细]                    ,福建 ,2020
9 ,0 ,录取                            ,北京615分，6887名，报贵校有希望录取吗？                                                            ,你好，该分数可以冲一冲                                                                                                                                                                 ,北京 ,2020
10,0 ,分数                            ,我系湖南省文科考生，高考611分，排名2432，有希望就读贵校吗？                                                  ,你好，该分数报考我校珠海校区有较大希望，建议一志愿报考我校。                                                                                                                                              ,湖南 ,2020
11,0 ,录取                            ,请问今年北京考生590分，10817名有希望进入贵校吗？                                                       ,你好，该分数差距较远。                                                                                                                                                                 ,北京 ,2020
12,0 ,报考希望                          ,老师您好我是广东文科生581分排名4638报考机会怎么样                                                       ,你好，该分数有希望，可以冲一冲我校珠海校区。                                                                                                                                                      ,广东 ,2020
13,0 ,学费                            ,请问文科类填报后学费是4800每学年吗                                                                ,是的，除人文科学试验班分流后，英语专业学费为6000每学年以外。                                                                                                                                            ,广东 ,2020
14,0 ,录取                            ,您好，624排位9917，有机会报考贵校提前批吗?提前批有什么要求吗?怎么签合同?是考生报考并被录取即可吗?                             ,你好，可以报我校珠海校区提前批，提前批招收公费师范生，如被我校录取，一般协议书会随录取通知书一并寄送。                                                                                                                         ,广东 ,2020
15,0 ,录取                            ,北京2020届综合改革，609分，市排名7806是否可以录取                                                     ,你好，该分数有一定差距。                                                                                                                                                                ,北京 ,2020
16,0 ,真心咨询录取问题                      ,老师你好，我是广东文科考生，考了571，排名6958，请问有机会报考贵校吗！去年最低排名是七千五百名，老师你能预测一下今年最低排名会上升到三四千名吗         ,你好，该分数应该希望不大，具体录取分数得等录取之后才能确定哈。                                                                                                                                             ,广东 ,2020
17,0 ,学位                            ,请问贵校的毕业证是否也算是985高校的毕业证？                                                            ,你好，学校办学格局为“一体两翼”，北京师范大学（北京校区）的本科院校招生代码为10027，北京师范大学（珠海校区）的本科院校招生代码为19027，考生填报志愿时分别填报，分别录取。对在规定年限内达到所在专业毕业要求的本科生，颁发北京师范大学本科毕业证书，毕业证书注明培养校区；对符...[详细]                         ,北京 ,2020
18,0 ,转专业                           ,请问进入贵校后能否从录取的专业转到其他专业？                                                             ,你好，珠海校区普通类学生转专业，学生可在春季学期自主提出转专业申请，由接收院系按转入标准进行公开考核，择优录取。转专业不设转出门槛，不设人数上限，且可跨文理大类。                                                                                           ,北京 ,2020
19,0 ,录取                            ,请问今年在北京大概多少名或多少分可以进入贵校？                                                            ,你好，建议拿分来咨询，参考更具针对性。                                                                                                                                                         ,北京 ,2020
5 ,0 ,报考                            ,广东文科599省排1900+，有希望社会科学专业吗                                                          ,你好，报考我校珠海校区该分数还是很有希望的，建议一志愿填报我校，选择意向专业试一下。                                                                                                                                  ,广东 ,2020
6 ,0 ,住宿                            ,你好，请问2020年新生宿舍是怎样安排的?                                                              ,珠海校区：六人间学生公寓，每层均设有公共卫浴，每间宿舍内均配有空调。学生公寓楼实行定时断网、关寝、熄灯制度。配套设施：钢架床、衣柜、书桌椅、书架以及网线接口和无线Wi-Fi。                                                                                     ,贵州 ,2020
7 ,0 ,河南国家专项计划                      ,老师您好请问分数589省位次7989走提前批或者国专贵校录取概率大吗                                                 ,你好，该分数想报可在提前批试一试，未被录取也不影响一批次录取。                                                                                                                                             ,河南 ,2020
8 ,0 ,学位                            ,请问贵校的毕业证是否和北京校本部完全一样？是否也是985高校的毕业证？                                                ,你好，我校珠海校区毕业证会注明培养校区，盖的章是北京师范大学的公章。                                                                                                                                          ,北京 ,2020
9 ,0 ,提前批投档线                        ,请问该校2020年提前批投档分数线是多少                                                               ,你好，2002年调档线分数需录取后才知道。                                                                                                                                                       ,广东 ,2020
10,0 ,重庆考生                          ,请问高考分585分，重庆文科考生，位次3057，非常希望能上贵校，平行志愿第一个就填了，是否有希望被录取呢？谢谢                           ,你好，该分数报考我校珠海校区希望较小。                                                                                                                                                         ,重庆 ,2020
11,0 ,重庆考生                          ,请问高考分585分，重庆文科考生，位次3057，非常希望能上贵校，平行志愿第一个就填了，是否有希望被录取呢？谢谢                           ,你好，该分数报考我校珠海校区希望较小。                                                                                                                                                         ,重庆 ,2020
12,0 ,珠海校区的学生能否到北京校区学习              ,请问珠海校区的学生能否到北京校区学习？                                                                ,你好，学校办学格局为“一体两翼”，北京师范大学（北京校区）的本科院校招生代码为10027，北京师范大学（珠海校区）的本科院校招生代码为19027，考生填报志愿时分别填报，分别录取。目前还没有。                                                                            ,广东 ,2020
13,0 ,老师你好，免费师范生能转专业吗？              ,免费师范生能转专业吗？能的话条件是什么？什么时候？谢谢                                                        ,你好，公费师范生只能在师范专业内选择，大一下、大二下有两次专业选择机会，学生可在春季学期自主提出转专业申请，由接收院系按转入标准进行公开考核，择优录取。转专业不设转出门槛，不设人数上限，且可跨文理大类；最后是否能转专业成功需看生源地省教育厅是否同意。                                               ,广东 ,2020
14,0 ,宿舍                            ,你好，请问公费师范生的宿舍有没有独立卫浴？一般是几人一间?是不是上床下桌？                                              ,你好，我校珠海校区：六人间学生公寓，每层均设有公共卫浴，每间宿舍内均配有空调。学生公寓楼实行定时断网、关寝、熄灯制度。配套设施：钢架床、衣柜、书桌椅、书架以及网线接口和无线Wi-Fi。                                                                                ,贵州 ,2020
